Order ID,Order Date,Product Category,Region,Sales,Profit
10001,2024-02-01,Electronics,East,14787,3232
10002,2024-12-30,Furniture,North,47937,-712
10003,2023-05-11,Electronics,North,14734,4240
10004,2024-07-18,Electronics,South,15814,8386
10005,2024-02-05,Clothing,East,9851,2098
10006,2024-01-01,Furniture,South,11600,1866
10007,2023-11-11,Electronics,South,15199,-1668
10008,2021-05-02,Electronics,West,22847,12507
10009,2022-04-12,Electronics,West,17963,4106
10010,2024-05-23,Electronics,North,15333,14058
10011,2021-11-27,Electronics,East,51886,4655
10012,2021-03-29,Clothing,West,7308,5739
10013,2024-10-28,Electronics,North,37159,-936
10014,2024-01-29,Electronics,East,49848,9115
10015,2023-05-22,Furniture,North,16820,3512
10016,2021-05-11,Electronics,West,44725,5008
10017,2024-08-25,Electronics,North,25884,12687
10018,2023-02-09,Electronics,East,25952,7711
10019,2021-12-10,Furniture,East,39614,4597
10020,2024-12-08,Electronics,North,38979,13254
10021,2023-03-17,Furniture,East,26388,9369
10022,2022-01-21,Clothing,North,9959,1668
10023,2024-04-30,Electronics,East,26782,4608
10024,2023-08-14,Furniture,North,43115,7412
10025,2021-10-04,Electronics,North,18850,574
10026,2024-03-30,Electronics,North,28209,3272
10027,2022-04-05,Furniture,South,13521,-3700
10028,2024-08-30,Clothing,East,14225,3789
10029,2021-01-22,Clothing,West,14045,7170
10030,2021-09-10,Electronics,North,45153,12755
10031,2023-01-18,Clothing,South,4824,7354
10032,2023-05-07,Clothing,West,7964,1486
10033,2022-04-20,Electronics,North,32555,1767
10034,2023-12-19,Electronics,West,20702,1107
10035,2022-05-26,Electronics,South,28852,6722
10036,2022-12-01,Electronics,West,39820,5883
10037,2023-09-03,Furniture,North,29708,8453
10038,2021-07-09,Electronics,West,25197,5618
10039,2023-08-16,Furniture,West,43550,9642
10040,2022-11-18,Electronics,North,36970,5789
10041,2023-08-16,Clothing,South,16002,5170
10042,2022-07-17,Electronics,South,27523,9981
10043,2024-06-21,Electronics,West,13007,5575
10044,2023-04-12,Electronics,East,33093,14184
10045,2024-02-29,Electronics,West,19294,3637
10046,2022-10-09,Clothing,East,19201,6850
10047,2021-01-21,Furniture,West,20908,11962
10048,2023-04-21,Clothing,South,14699,2365
10049,2021-06-16,Electronics,West,9376,12255
10050,2024-07-21,Electronics,West,21647,3408
10051,2022-01-23,Electronics,East,16163,4283
10052,2022-08-24,Clothing,South,3976,6943
10053,2021-11-12,Clothing,East,19921,5259
10054,2021-01-14,Furniture,West,14920,228
10055,2021-08-30,Electronics,North,19748,13715
10056,2023-02-16,Clothing,West,16484,6335
10057,2024-10-01,Clothing,West,10985,4104
10058,2022-07-19,Clothing,East,19467,934
10059,2023-06-17,Clothing,North,2020,3422
10060,2024-09-25,Clothing,North,16717,6888
10061,2021-04-02,Clothing,East,12117,7740
10062,2024-10-22,Electronics,South,22963,-901
10063,2023-08-14,Clothing,North,4637,889
10064,2024-12-22,Electronics,North,63065,5457
10065,2022-05-24,Clothing,East,12807,1854
10066,2023-02-15,Electronics,South,14402,2521
10067,2021-02-04,Clothing,South,18389,690
10068,2021-07-25,Furniture,West,25065,9425
10069,2024-01-10,Furniture,West,23111,3031
10070,2024-11-12,Furniture,East,33163,83
10071,2023-10-23,Clothing,South,14060,4625
10072,2023-10-19,Clothing,East,5427,3649
10073,2024-11-14,Clothing,West,25452,6118
10074,2022-07-20,Furniture,East,44837,-1642
10075,2024-02-04,Electronics,East,26822,6808
10076,2022-12-04,Furniture,North,38645,-3189
10077,2022-02-06,Furniture,North,41018,11555
10078,2022-12-31,Clothing,North,24711,6406
10079,2021-06-11,Electronics,West,48751,2063
10080,2021-07-21,Electronics,East,16644,7610
10081,2023-09-23,Furniture,North,18142,-4247
10082,2021-09-27,Electronics,North,19564,4851
10083,2023-03-27,Furniture,North,15104,10190
10084,2024-07-18,Clothing,West,15421,7327
10085,2022-04-01,Electronics,West,19202,9103
10086,2024-06-29,Furniture,East,13685,4869
10087,2023-10-14,Clothing,East,9027,7718
10088,2021-10-23,Clothing,East,22712,1986
10089,2022-12-21,Clothing,North,13822,770
10090,2021-12-04,Electronics,South,28454,14727
10091,2023-05-29,Clothing,West,18203,3581
10092,2023-12-13,Electronics,North,40327,7449
10093,2023-03-03,Furniture,North,25657,-2709
10094,2021-08-05,Furniture,East,11532,-638
10095,2023-02-03,Electronics,East,24015,2988
10096,2021-07-07,Clothing,North,8344,738
10097,2022-01-15,Clothing,West,17693,1414
10098,2022-05-08,Electronics,West,42206,12819
10099,2023-12-01,Furniture,North,25547,1389
10100,2024-03-26,Electronics,South,30361,1079
10101,2021-01-15,Electronics,South,47063,11703
10102,2021-03-06,Clothing,West,10558,3491
10103,2022-06-05,Clothing,East,5741,6189
10104,2024-09-29,Clothing,South,18469,7722
10105,2024-02-27,Clothing,South,16329,2993
10106,2022-10-10,Clothing,East,23896,6947
10107,2023-12-23,Clothing,South,13419,1403
10108,2024-03-08,Electronics,North,43572,-716
10109,2022-08-16,Electronics,South,41457,2782
10110,2022-01-27,Electronics,East,37011,2507
10111,2022-02-23,Electronics,North,42764,14813
10112,2021-10-16,Clothing,South,13820,1484
10113,2022-01-14,Electronics,West,29852,2507
10114,2021-08-19,Electronics,North,8527,996
10115,2023-10-15,Electronics,North,57505,12772
10116,2021-02-10,Furniture,West,43471,-4338
10117,2023-11-18,Furniture,West,45422,4114
10118,2021-05-15,Clothing,South,8256,4356
10119,2021-07-20,Furniture,South,18367,8460
10120,2023-02-19,Clothing,East,7297,1435
10121,2023-07-19,Clothing,East,10573,7890
10122,2023-11-23,Electronics,North,17391,11500
10123,2023-12-08,Clothing,West,2996,5997
10124,2022-05-18,Clothing,West,6697,2890
10125,2022-02-11,Clothing,East,9222,1965
10126,2023-03-16,Clothing,North,13463,902
10127,2021-04-09,Clothing,North,14901,7440
10128,2022-11-15,Clothing,East,23428,3170
10129,2022-12-27,Furniture,East,18907,1074
10130,2023-08-19,Electronics,East,47618,-1250
10131,2022-09-05,Clothing,South,3617,6259
10132,2022-10-05,Clothing,North,5889,3833
10133,2023-10-26,Clothing,North,12004,2097
10134,2024-05-26,Clothing,North,2511,6854
10135,2022-05-18,Electronics,East,45850,14636
10136,2023-02-06,Clothing,East,10820,3976
10137,2022-02-02,Electronics,East,17178,-275
10138,2023-05-21,Clothing,East,15765,2201
10139,2023-03-06,Clothing,West,10496,6334
10140,2022-01-28,Clothing,East,14270,2780
10141,2021-07-26,Electronics,South,28724,807
10142,2023-11-05,Clothing,West,22950,3386
10143,2023-06-11,Electronics,West,36030,5572
10144,2023-05-14,Furniture,East,27408,3698
10145,2023-01-13,Furniture,North,14856,1724
10146,2024-06-18,Furniture,East,19245,5866
10147,2022-07-18,Clothing,North,12096,4870
10148,2023-10-18,Clothing,East,8563,5422
10149,2021-04-06,Electronics,East,45814,5203
10150,2022-04-30,Electronics,North,29658,7828
10151,2024-12-01,Clothing,North,23136,1955
10152,2021-08-19,Clothing,North,2038,6882
10153,2023-01-19,Furniture,North,16265,1598
10154,2024-04-09,Electronics,South,43183,12306
10155,2022-06-25,Furniture,North,21885,6377
10156,2023-11-26,Clothing,East,16975,6945
10157,2022-06-09,Clothing,East,9443,7763
10158,2024-03-29,Electronics,South,25084,2383
10159,2024-06-20,Electronics,North,34777,-407
10160,2024-01-15,Clothing,East,16758,4487
10161,2022-08-01,Clothing,South,9026,7305
10162,2022-11-13,Electronics,East,56394,9329
10163,2022-07-11,Clothing,South,3908,7454
10164,2023-10-10,Furniture,South,52465,10496
10165,2022-10-08,Furniture,West,16806,4280
10166,2023-03-07,Furniture,West,31635,-873
10167,2023-11-18,Electronics,North,16851,9761
10168,2024-09-25,Electronics,West,29695,7357
10169,2024-09-16,Clothing,South,2987,5810
10170,2024-10-03,Electronics,East,12954,5316
10171,2024-06-08,Electronics,East,39318,12046
10172,2021-07-09,Electronics,North,8868,2378
10173,2024-06-02,Electronics,West,37032,11246
10174,2024-11-09,Electronics,North,54397,13169
10175,2024-11-01,Electronics,South,44158,4385
10176,2024-07-30,Electronics,West,16222,3480
10177,2022-09-25,Electronics,North,48545,3362
10178,2022-09-20,Clothing,East,2950,558
